Existing address,Normalized address,Latitude,Longitude
"Druskininkų sav., Druskininkai, Maironio g. 22","Maironio gatvė 22, Druskininkai, Lietuva",54.0240527,23.9741022
"L. Rėzos g. 10, Neringa","L. Rėzos gatvė 10, Neringa, Lietuva",55.5318433,21.1172813
"Laisvės al. 90, Kauno m.","Laisvės al. 90, Kauno miestas, Lietuva",54.8968721,23.8924264
"J. Gruodžio g. 21, Kaunas","J. Gruodžio gatvė 21, Kaunas, Lietuva",54.8969663,23.9008
"Tilto g. 2A, Vilnius","Tilto gatvė 2A, Vilnius, Lietuva",54.6865343,25.2858894
"Liepų g. 48A, Klaipėdos m.","Liepų gatvė 48A, Klaipėdos miestas, Lietuva",55.7154842,21.1433037
"Pilies g. 24, Vilnius","Pilies gatvė 24, Vilnius, Lietuva",54.6823824,25.2891538
"Senoji g. 16, Kėdainių m., Kėdainių r.","Senoji gatvė 16, Kėdainių miestas, Kėdainių rajono savivaldybė, Lietuva",55.2858427,23.9811764
"Vytauto g. 116, Palanga","Vytauto gatvė 116, Palanga, Lietuva",55.9214547,21.0685893
"Druskininkų sav., Druskininkai, T. Kosciuškos g. 6","T. Kosciuškos gatvė 6, Druskininkai, Lietuva",54.0227257,23.9703781
"Vytauto g. 79/Gintaro g.30, Palangos m.","Vytauto gatvė 79, Palangos miestas, Lietuva",55.9215317,21.0686328
"Pilaitės pr. 20, Vilnius","Pilaitės prospektas 20, Vilnius, Lietuva",54.7029047,25.2027449
"Alytaus r. sav., Nemunaičio sen., Nemunaitis","Nemunaitis, Alytaus rajono savivaldybė, Lietuva",54.3467215,24.1310766
"Liepojos g. 7A, Klaipėdos m.","Liepojos gatvė 7A, Klaipėdos miestas, Lietuva",55.7464667,21.1304151
"Naujojo Sodo g. 1, Klaipėda","Naujojo Sodo gatvė 1, Klaipėda, Lietuva",55.7109458,21.1291436
"Šlaito g. 18a, Klaipėdos m.","Šlaito gatvė 18a, Klaipėdos miestas, Lietuva",55.7664025,21.0893431
"Vasario 16-osios g. 40, Šiaulių m.","Vasario 16-osios gatvė 40, Šiaulių miestas, Lietuva",55.9301519,23.315442
"Raugyklos g. 7/2, Vilnius","Raugyklos gatvė 7, Vilnius, Lietuva",54.6752338,25.2821432
"Spurganų k., Mažeikių r.","Spurganai, Mažeikių rajono savivaldybė, Lietuva",56.2634036,22.2656004
"Žemaitijos g. 15, Vilniaus m.","Žemaitijos gatvė 15, Vilniaus miestas, Lietuva",54.6777574,25.2824898
"Vaidilutės g. 6a, Vilniaus m.","Vaidilutės gatvė 6a, Vilniaus miestas, Lietuva",54.7337846,25.295776
"Vilniaus m. sav., Vilnius, Slucko g. 8","Slucko gatvė 8, Vilnius, Vilniaus m. sav., Lietuva",54.6955687,25.2853848
"A. Mickevičiaus g. 28, Kauno m.","A. Mickevičiaus gatvė 28, Kauno miestas, Lietuva",54.8963776,23.9174456
"M. K. Čiurlionio g. 84, Vilnius","M. K. Čiurlionio gatvė 84, Vilnius, Lietuva",54.6819901,25.2492951
"Žvejų g. 20-22, Klaipėdos m.","Žvejų gatvė 20, Klaipėdos miestas, Lietuva",55.7068357,21.1274458
"Užuolankos g. 24, Alytaus m.","Užuolankos gatvė 24, Alytaus miestas, Lietuva",54.3990555,24.0460539
"Vingrių g. 25, Vilniaus m.","Vingrių gatvė 25, Vilniaus miestas, Lietuva",54.6773447,25.2795414
