Viešbutis,Salė,Plotas (kv. m.),Pobūviams,Konferencijoms,Viet. išdėst. ir sk.,Įranga
AD ASTRUM,,,Y,Y,Teatro stilius: 50,
AD ASTRUM,,,Y,Y,Teatro stilius: 15,
"""ALANGA""",,,,Y,Klasės stilius: 60,"DVD grotuvas, TV"
ALANGA,,,Y,Y,Teatro stilius: 100; Klasės stilius: 60; U stilius: 50,
ALGIRDAS CITY HOTEL,Konferencijų salė,,,Y,Teatro stilius: 50; Klasės stilius: 22; U stilius: 22; Apvalaus stalo stilius: 24; Banketo stilius: 22,"Ekranas, Video projektorius"
ALKA,,,Y,Y,Teatro stilius: 50; Klasės stilius: 50; U stilius: 50; Apvalaus stalo stilius: 50; Banketo stilius: 50,"Ekranas, Multimedia, Rašymo lenta"
AMBERTON,,,Y,Y,Teatro stilius: 80; Klasės stilius: 80; U stilius: 80; Apvalaus stalo stilius: 80; Banketo stilius: 80,
AMBERTON KLAIPĖDA,,,,Y,Teatro stilius: 30; Klasės stilius: 20; U stilius: 20; Apvalaus stalo stilius: 15; Banketo stilius: 30,"Kompiuteris, Mikrofonas, Multimedia, Sinchroninis vertimas"
ANGELĖ,,,Y,Y,Teatro stilius: 50,
APPLE ECONOMY HOTEL,,,Y,Y,Teatro stilius: 54,
APVALAUS STALO KLUBAS,,,,Y,Klasės stilius: 40,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius"
ARARAT,,,,Y,Klasės stilius: 35,
ARTIS CENTRUM HOTEL,Aida,40,Y,Y,Teatro stilius: 160; Klasės stilius: 90; U stilius: 50; Banketo stilius: 70,
ARTIS CENTRUM HOTEL,Aida I/II,53,,Y,Teatro stilius: 70; Klasės stilius: 50; U stilius: 30,
ARTIS CENTRUM HOTEL,Carmen,,,Y,Teatro stilius: 70; Klasės stilius: 48; U stilius: 34; Banketo stilius: 35,
ARTIS CENTRUM HOTEL,Micado,,,Y,Teatro stilius: 50; Klasės stilius: 30; U stilius: 28,
ARTIS CENTRUM HOTEL,Nabuco,,,Y,Teatro stilius: 50; Klasės stilius: 30; U stilius: 28; Banketo stilius: 28,
ARTIS CENTRUM HOTEL,Norma,,,Y,Teatro stilius: 70; Klasės stilius: 46; U stilius: 34,
ARTIS CENTRUM HOTEL,Rigoletto,,,Y,Teatro stilius: 24; Klasės stilius: 16; U stilius: 18,
ARTIS CENTRUM HOTEL,Tosca,,,Y,Teatro stilius: 26; Klasės stilius: 18; U stilius: 20,
ARTIS CENTRUM HOTEL,Tosca,,,Y,Teatro stilius: 26; Klasės stilius: 18; U stilius: 20,
ASTRUM PALACE,,,,Y,Klasės stilius: 70,"Ekranas, Grafinis projektorius, TV"
ATGAIVA TAU,,,Y,Y,Teatro stilius: 25,
ATGAIVA TAU,,,Y,Y,Teatro stilius: 45,
ATRIUM,Riterių,,Y,Y,Banketo stilius: 30,
AUDRUVIS,,,,Y,Klasės stilius: 70,
AUKŠTAITIJA,,,,Y,Klasės stilius: 20,"DVD grotuvas, Grafinis projektorius, TV, Video grotuvas"
AUSKA,,,Y,Y,Apvalaus stalo stilius: 60,
AUSKA,,,Y,Y,U stilius: 50,
AUSTĖJA,,,Y,Y,Teatro stilius: 24,
A.V.GODA,Konferencijų salė,,,Y,Klasės stilius: 30,"Ekranas, Grafinis projektorius, Kompiuteris"
BABILONAS,,,,Y,Teatro stilius: 8; Klasės stilius: 14; U stilius: 35; Apvalaus stalo stilius: 25,
BAJORŲ UŽEIGA,,,Y,Y,Klasės stilius: 60,"Grafinis projektorius, Video grotuvas"
BARBACAN PALACE,,180,Y,Y,Teatro stilius: 80; Klasės stilius: 40; U stilius: 32; Apvalaus stalo stilius: 36,
BELORUS,,,,Y,Klasės stilius: 60,"Kompiuteris, Multimedia, TV"
BERŽAS,,,Y,Y,U stilius: 20,
BERŽAS,,,Y,Y,U stilius: 60,
BEST WESTERN HOTEL CENTRAL,,,Y,Y,Klasės stilius: 25; Apvalaus stalo stilius: 12,
BEST WESTERN SANTAKOS,Arkos,,,Y,Teatro stilius: 30; Klasės stilius: 20; U stilius: 16; Banketo stilius: 22,
BEST WESTERN SANTAKOS,Nemunas,,,Y,Teatro stilius: 60; Klasės stilius: 30; U stilius: 30; Apvalaus stalo stilius: 35; Banketo stilius: 35,
BEST WESTERN SANTAKOS,Nemunas,,,Y,Teatro stilius: 60; Klasės stilius: 30; U stilius: 30; Apvalaus stalo stilius: 35; Banketo stilius: 35,
BEST WESTERN SANTAKOS,Neris,,,Y,Teatro stilius: 60; Klasės stilius: 30; U stilius: 30; Banketo stilius: 35,
BEST WESTERN SANTAKOS,Šventoji,,,Y,Teatro stilius: 200; Klasės stilius: 80; U stilius: 50; Apvalaus stalo stilius: 60,
BEST WESTERN VILNIUS,Granito,190,Y,Y,Teatro stilius: 200; Klasės stilius: 120; U stilius: 50; Apvalaus stalo stilius: 60; Banketo stilius: 150,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
BEST WESTERN VILNIUS,Granito A,77,Y,Y,Teatro stilius: 50; Klasės stilius: 30; U stilius: 28; Apvalaus stalo stilius: 30,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
