Pavadinimas,Veiklos vykdymo vieta,Klasė,Klasė suteikta iki,Oficialus įm. pavadinimas,El. paštas,Telefonas,Papildomas telefonas,Faksas,Svetainės adresas,Vietų skaičius,Kambarių skaičius,Priklausomybė tinklui,Priėmimo mėn.,Papildomos paslaugos,Sveikatingumo paslaugos,Pramogos,Verslo centro įranga,Inventoriaus nuoma,Pritaikyta neįgaliesiems,Pramogos neįgaliesiems,Maitinimo paslaugos,Darbo valandos
A PENKI,"Fabijoniškių g. 5-6, Vilniaus m.",3*,2013.10.04,"UAB ""Švaros formulė""",,52702409,,52702418,,,,,,,,,,,,,,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
A PENKI,"Savanorių pr. 176, Vilniaus m.",3*,2011.04.07,"UAB ""Švaros formulė""",,2311028,,2311028,,28,10,,,"Mašinų stovėjimo aikštelė, Skalbimas ir valymas",,,,,Yra,,Pusryčiai,
ACAPPELLA,"Vilniaus m. sav., Vilnius, Dariaus ir Girėno g. 61",3*,2009.11.26,"UAB ""Sąlytis"" ir partneriai",info@hotelacappella.lt,52167898,,52167241,,25,10,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,Yra,,"Baras, Restoranas",
AD ASTRUM,"Šeimyniškių g. 21, Vilnius",2*,2007.02.06,"Uždaroji akcinė bendrovė Sveikatos centras ""SANVITA""",adastrum@antedonas.lt,5290588,,52790521,,80,41,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna",,,,,Nėra,,"Kavinė, Restoranas",
ADELITA,"Rodūnios kelias 8, Vilniaus m.",3*,2015.02.01,"Bendra JAV - Lietuvos įmonė  UAB ""Adelita""",info@adelita.lt,52329404,,52136463,,63,32,,,"Pirtis/Sauna, Požeminis garažas",,,,,Nėra,,Kavinė,
"""ALANGA""","S. Nėries g. 14, Palangos m.",3*,2015.02.01,"UAB ""Alminga""",info@alanga.lt,46049215,,46049316,,100,48,Best Eastern,,"Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Teniso kortai, Treniruoklių salė, Vaikų priežiura, Valiutos keitykla",,Vaikų žaidimo aikštelė,,,Nėra,,Restoranas,
ALANGA,"S. Nėries g. 14, Palanga",3*,2006.12.03,"Uždaroji akcinė bendrovė ""Alminga""",info@alanga.lt,46049215,,46049316,,100,47,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,Nėra,,Restoranas,
ALGIRDAS CITY HOTEL,"Algirdo g. 24, Vilniaus m.",3*,2013.10.04,"UAB ""CITY HOTELS""",info@cityhotels.lt,52326650,,52326654,,77,42,,,,,,,,Yra,,Restoranas,
ALKA,"S. Daukanto g. 21, Palanga",4*,2015.02.01,"UAB ""Pajūrio Alka""",info@alka.lt,46041433,,46041443,,76,34,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,,,,
AMBASSADOR,"Gedimino pr. 12, Vilniaus m.",2*,2015.02.01,"UAB ""Žaliasis tiltas""",info@ambassador.lt,52615450,,52121716,,34,17,,,"Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas",,,,,Nėra,,Kavinė,
AMBERTON,"L. Stuokos-Gucevičiaus g. 1, Vilniaus m.",4*,2015.03.06,"UAB ""Šventaragio slėnis""",vilnius@klaipedahotel.lt,52107461,,52107460,,134,77,,,"Baseinas, Pirtis/Sauna, Požeminis garažas, Skalbimas ir valymas, Teniso kortai, Treniruoklių salė",,,,,Yra,,Restoranas,
AMBERTON COSY,"Naujojo Sodo g. 1, Klaipėdos m.",4*,2013.10.04,"AB ""Klaipėda""",admin@klaipedahotel.lt,404372,,404373,,53,28,,,"Požeminis garažas, Seifas, Skalbimas ir valymas, Teniso kortai, Treniruoklių salė",,Boulingas,,,Yra,,"Baras, Restoranas",
AMBERTON COSY,"Kuzmos g. 8, Kaunas",4*,2013.10.04,"AB ""Klaipėda""",kaunas@klaipedahotel.lt,,,,,53,28,,,"Požeminis garažas, Seifas, Skalbimas ir valymas, Teniso kortai, Treniruoklių salė",,Boulingas,,,Yra,,"Baras, Restoranas",Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
AMBERTON KLAIPĖDA,"Naujojo Sodo g. 1, Klaipėdos m.",4*,2012.12.22,"AB ""Klaipėdos"" viešbutis",admin@klaipedahotel.lt,46404372,,46404373,,570,284,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas",,,,,,,,
AMICUS HOTEL,"Kaminkelio g. 15, Vilnius",3*,2015.07.30,"UAB ""Dors hotel""",info@amicushotel.lt,52375880,,52383980,www.amicushotel.lt,45,20,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas",Klasikinis masažas,,,,Yra,,Restoranas,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
ANGELĖ,"Rokiškio r. sav., Rokiškio miesto sen., Rokiškis, Panevėžio g. 7A",2*,2012.01.06,D.Mediko individuali įmonė,d.medikas@gmail.com,45832816,,45832610,,27,12,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Biliardas, Pirtis/Sauna",,,,,,,Kavinė,
ANYKŠČIŲ SPORTO IR LAISVALAIKIO CENTRAS,"Liudiškių g. 18, Anykščiai",3*,2015.05.14,"UAB ""Anykščių sporto ir laisvalaikio centras""",reception@keturikalnai.lt,38158520,,38158640,,55,27,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas, Teniso kortai, Treniruoklių salė",,,,Sporto inventorius,,,,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
APIA,"Vilniaus m. sav., Vilnius, Šv. Ignoto g. 12-1",3*,2015.06.07,"UAB ""Baltic Ventures""",apia@apia.lt,52123426,,52123618,,24,12,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,,,Baras,
APPLE ECONOMY HOTEL,"Kauno m. sav., Kaunas, M. Valančiaus g. 19",2*,2013.10.04,"VĮ ""Turizmo iniciatyvų centras""",info@applehotel.lt,37321404,,37321404,,28,14,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,Nėra,,Kavinė,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
APUOLĖ,"Dariaus ir Girėno g. 50, Skuodo m., Skuodo r.",2*,2012.05.16,"UAB ""Skuodo komunalinis ūkis""",komunalinis@ktv.satela.lt,44073223,,44073223,,20,12,,,,,,,,Nėra,,Kavinė,
APVALAUS STALO KLUBAS,"Gilušio g. 6, Trakų m., Trakų r.",4*,2013.12.22,"UAB ""KISTELA""",info@asklubas.lt,52855595,,52851760,,34,17,,,"Mašinų stovėjimo aikštelė, Pirtis/Sauna",,,,,,,"Kavinė, Restoranas",
ARARAT,"Liepų g. 48A, Klaipėdos m.",4*,2013.12.22,"UAB ""AIRARAT""",info@ararat.lt,46400880,,46400411,,62,27,,,"Automobilių nuoma, Mašinų stovėjimo aikštelė, Pirtis/Sauna",,,,,Nėra,,"Kavinė, Restoranas",
ARIBĖ,"Bangų g. 19, Klaipėda",3*,2012.03.31,"UAB ""VITĖ""",hotel@airibe.lt,46490490,,46940942,,22,15,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas",,,,Dviračiai,Nėra,,Pusryčiai,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
